studio,count,mean_rating,vs_indie
Disney,124,6.39516129032258,0.3242258398565818
Warner Bros,166,6.231927710843373,0.16099226037737502
Sony,113,6.214159292035399,0.1432238415694007
Paramount,66,6.196969696969697,0.126034246503699
Universal,101,6.0673267326732665,-0.0036087177927317526
