genre,franchise_mean,standalone_mean,difference,franchise_count,standalone_count,t_statistic,p_value,cohens_d,suspicious
Action,6.695833333333333,5.763482532751092,0.932350800582241,48,1832,5.410621181806665,1.7630873816191772e-06,0.7477333931817374,True
Thriller,6.221428571428572,5.652221641400941,0.5692069300276312,14,1913,1.8704225541488695,0.0836977411319776,0.474504458002863,False
Adventure,6.506060606060606,5.9689950980392155,0.5370655080213904,33,816,2.3269885797871557,0.026036545973208675,0.433352197442774,True
Drama,6.645833333333333,6.2947027901334405,0.35113054319989256,24,4946,1.1752640565191277,0.25184862230903593,0.2721918823906537,False
Sci-Fi,5.277777777777778,5.252671755725191,0.025106022052586496,9,393,0.03871732421661251,0.9700462392647548,0.015308929314369666,False
